company_name,company_domain,pais,ciudad,profile_key,target_leads,selected_for_run,status,last_run_at,linea_detectada,linea_raw,company_url_raw,source_file,source_sheet
Unilever,unilever.com.co,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.unilever.com.co/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
VITRO,vitro.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.vitro.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Vento Motorcycles,vento.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://www.vento.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
Volkswagen México,vw.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.vw.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Wonder México (Grupo Bimbo),wonder.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.wonder.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
XPO Logistics,xpo.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.xpo.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Yakult México,yakult.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.yakult.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Yamaha Motor Argentina,yamaha-motor.com.ar,Argentina,,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://www.yamaha-motor.com.ar/,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
Yamaha Motor México,yamaha-motor.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://www.yamaha-motor.com.mx/motos,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
Yamaha Motor do Brasil,yamaha-motor.com.br,Brasil,Manaus,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://www.yamaha-motor.com.br/,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
Yara,yara.com.co,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.yara.com.co/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
ZF Group México,zf.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.zf.com/mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Zanella,zanellaglobal.com,Argentina,,intralogistics_ops,10,False,pending,,Intralogistica,Intralogistica,https://zanellaglobal.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Ensambladora de Motos\BASE DE DATOS ENSAMBLADORAS MOTOS LATAM.xlsx,CRM_Motos_LATAM
Zona Franca Bogotá (Grupo ZFB),zonafrancabogota.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://zonafrancabogota.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Zona Franca del Pacífico,zonafrancadelpacifico.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://www.zonafrancadelpacifico.com/es/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Zona Franca la Cayena,zonafrancalacayena.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://zonafrancalacayena.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Zwan (marca Qualtia),zwan.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.zwan.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
