COMPANY NAME,source,pais,sector
MANUELITA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
RIOPAILA CASTILLA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGENIO RISARALDA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGENIO SANCARLOS SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGENIO DE OCCIDENTE SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
AGROINDUSTRIAS DEL CAUCA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
AZUCARERA CENTRAL SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
NATIPAN,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGEALIMENTOS SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
CI PROCESADORA SAN FRANCISCO SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIA DE ALIMENTOS ZENU SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
FUNTRITION SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALIMENTOS CARNICOS SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
VINAGRES GOLDEN SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
DSM NUTRITIONAL PRODUCTS COLOMBIA S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
GRUPO CBC S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
OMNILIFE MANUFACTURA DE COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
DPA MANUFACTURING COLOMBIA LTDA.,ALIMENTICIO,Colombia,Alimentos/Bebidas
PRODUCTOS LACTEOS EL RECREO S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALIMENTOS DEL VALLE S.A. - ALIVAL S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
LLOREDA S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
PANIFICADORA EL COUNTRY,ALIMENTICIO,Colombia,Alimentos/Bebidas
C.I. CASTAÑO Y HOYOS LTDA,ALIMENTICIO,Colombia,Alimentos/Bebidas
FRUTALIA DE COLOMBIA LTDA.,ALIMENTICIO,Colombia,Alimentos/Bebidas
PROSIGNA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDES S.A.S,ALIMENTICIO,Colombia,Alimentos/Bebidas
ACOSTA RIVERA S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIAS EL PUMA,ALIMENTICIO,Colombia,Alimentos/Bebidas
DIPSA FOOD ENERGY REPRESENTACIONES,ALIMENTICIO,Colombia,Alimentos/Bebidas
AGRICOLA HIMALAYA S.A.,ALIMENTICIO,Colombia,Alimentos/Bebidas
CONGRUPO S.A,ALIMENTICIO,Colombia,Alimentos/Bebidas
T-VAPAN 500 S.A,ALIMENTICIO,Colombia,Alimentos/Bebidas
COMESTIBLES ALDOR S.A.S,ALIMENTICIO,Colombia,Alimentos/Bebidas
FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA - BUENCAFE LIOFILIZADO,ALIMENTICIO,Colombia,Alimentos/Bebidas
QUIMEX INDUSTRIALES S.A (QUIMEX S.A.),ALIMENTICIO,Colombia,Alimentos/Bebidas
PRODUCTOS QIKELY S.A.S,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIA QUINDIANA DE LACTEOS Y ALIMENTOS LTDA QUINALAC LTDA,ALIMENTICIO,Colombia,Alimentos/Bebidas
GASEOSAS HIPINTO S.A.S,ALIMENTICIO,Colombia,Alimentos/Bebidas
PRODUCTORA DE CONFITES Y CHICLES MAC DULCES SAS – MAC DULCES SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
